 Population,Total area of land transferred squaremeters,Houseage,shiftinglevel,Total number of floors,building state,Building transfer total area squaremeters,Room,Hall,Bathroom,Compartment,management,Unit price square meters
2.7,47.25,39,0,2,3,86.07,3,1,3,1,0,40665
2.7,73,50,0,2,3,91.88,3,1,2,1,0,54419
2.7,10.49,23,6,16,5,106.97,3,2,2,1,1,27204
2.7,319.86,27,0,2,3,165.32,5,2,3,1,0,50508
2.7,112.89,19,0,4,3,192.07,4,2,3,1,1,43734
2.7,43,80,0,1,3,30.96,3,1,2,1,0,83979
2.7,74.71,40,0,4,3,237.6,4,4,4,1,0,9470
2.7,75,53,0,2,3,95.76,3,2,2,1,0,44904
2.7,101.07,31,0,2,3,158.55,4,3,3,1,0,65342
2.7,23.48,23,12,12,5,142.16,4,2,4,1,0,33765
2.7,76.69,20,0,3,3,157.61,4,2,3,1,0,52662
2.7,139.09,29,0,2,3,152.14,4,3,2,1,0,27606
2.7,151,30,0,3,3,349.08,8,2,5,1,0,64971
2.7,81.74,47,0,1,3,53.4,3,1,1,1,0,28090
2.7,19.74,25,6,10,4,112.93,3,2,2,1,1,29664
2.7,47.25,40,0,2,3,86.07,3,1,2,1,0,44150
2.7,89.11,28,0,3,3,142.35,7,1,2,1,0,56902
2.7,22.28,26,1,7,4,122.84,3,1,2,1,1,29306
2.7,20.36,26,1,7,4,139.29,3,2,2,1,1,36614
2.7,171,54,0,2,3,112.35,4,1,2,1,0,149533
2.7,21.17,25,7,10,4,118.42,3,2,2,1,1,33609
2.7,25.51,26,3,6,4,108.52,3,2,2,1,1,35017
2.7,80,41,0,2,3,123.2,3,2,2,1,0,28815
2.7,24.72,21,7,8,4,163.37,2,2,2,1,1,39787
2.7,80.79,24,0,4,3,198.82,5,3,3,1,0,37723
2.7,79.98,32,0,2,3,137.15,3,2,2,1,0,44185
2.7,17.5,39,4,4,2,51.35,2,1,1,1,0,38948
2.7,12.24,24,6,16,5,125.36,3,1,2,1,1,29196
2.7,20.91,26,7,7,4,106.18,3,2,2,1,1,29384
2.7,17.5,39,2,2,2,51.35,2,1,1,1,0,48685
2.7,63.28,42,0,2,3,61.04,4,1,2,1,0,43687
2.7,74,38,0,3,3,121.44,6,3,3,1,0,49407
2.7,13.39,25,9,10,4,124.57,3,2,2,1,0,36124
2.7,79,58,0,2,3,108.36,2,1,2,1,0,35068
2.7,11.37,24,14,16,5,112.43,3,1,2,1,1,23837
2.7,211,37,0,3,3,343.59,6,2,5,1,0,80037
2.7,26.89,62,0,1,3,19.46,3,1,1,1,0,25694
2.7,18.44,26,8,8,4,102.27,3,2,2,1,1,42828
2.7,10.49,24,5,16,5,104.92,3,2,2,1,1,28593
2.7,19.02,25,6,10,4,109.47,3,2,2,1,0,29232
2.7,13.55,24,16,16,5,136.11,3,2,2,1,1,27772
2.7,84.75,32,0,2,3,137.15,4,1,2,1,0,41560
2.7,95,39,0,2,3,113.85,4,2,3,1,0,60430
